region,zone,dealer,source,type,model,grade,color,booking_date,invoice_date,delivery_date,payment_type, sales amount 
Region 4,Zone 07,11113,Chat,Passenger,SL-Class,BAC,BLACK,27/12/2021,17/1/2022,17/1/2022,Cash,"4,100,000.00"
Region 6,Zone 11,14117,Website,Car,CL500,HAB,GREY,18/12/2021,4/4/2022,4/4/2022,Cash,"5,000,000.00"
Region 4,Zone 08,16103,TestDrive,Car,CL500,HAC,GREY,12/12/2021,,,Installment,
Region 3,Zone 05,10137,Chat,Passenger,SL-Class,BAC,GREY,8/1/2022,19/3/2022,19/3/2022,Installment,"4,100,000.00"
Region 1,Zone 02,10125,TestDrive,Car,CL500,HAA,BLACK,13/8/2022,,,Cash,
Region 6,Zone 12,13141,TestDrive,Car,CL500,HAC,GREY,23/2/2022,27/5/2022,2/6/2022,Cash,"5,000,000.00"
Region 2,Zone 03,10106,TestDrive,Passenger,SL-Class,BAC,WHITE,21/12/2021,10/1/2022,10/1/2022,Installment,"4,100,000.00"
Region 2,Zone 03,10119,Chat,Passenger,SL-Class,BAC,SILVER,16/7/2022,31/8/2022,31/8/2022,Installment,"4,100,000.00"
Region 1,Zone 01,10166,Chat,Passenger,SL-Class,BAA,GREY,15/2/2022,31/3/2022,31/3/2022,Installment,"4,100,000.00"
Region 3,Zone 05,16117,Chat,Passenger,SL-Class,BAB,BLACK,18/2/2022,17/5/2022,19/5/2022,Installment,"4,100,000.00"
Region 2,Zone 03,10147,TestDrive,Passenger,SL-Class,BAB,GREY,6/7/2022,26/7/2022,30/7/2022,Installment,"4,100,000.00"
Region 4,Zone 08,16111,Chat,Passenger,SL-Class,BAD,WHITE,15/12/2021,27/1/2022,29/1/2022,Installment,"4,100,000.00"
Region 6,Zone 13,13105,TestDrive,Car,CL500,HAC,GREY,13/12/2021,,,Cash,
Region 4,Zone 07,11116,TestDrive,Car,CL500,HAC,WHITE,10/2/2022,31/3/2022,9/4/2022,Installment,"5,000,000.00"
Region 4,Zone 07,11103,TestDrive,Passenger,SL-Class,BAB,WHITE,13/12/2021,,,Installment,
Region 6,Zone 13,13127,TestDrive,Passenger,SL-Class,BAB,WHITE,11/3/2022,11/3/2022,11/3/2022,Cash,"4,100,000.00"
Region 4,Zone 07,11103,TestDrive,Car,CL500,HAB,GREY,13/12/2021,31/1/2022,22/2/2022,Installment,"5,000,000.00"
Region 2,Zone 04,10150,TestDrive,Car,CL500,HAC,WHITE,7/2/2022,29/4/2022,3/5/2022,Installment,"5,000,000.00"
Region 6,Zone 12,13142,Chat,Passenger,SL-Class,BAD,GREY,30/1/2022,8/2/2022,10/2/2022,Cash,"4,100,000.00"
Region 3,Zone 06,10143,TestDrive,Car,CL500,HAB,GREY,18/12/2021,3/4/2022,3/4/2022,Cash,"5,000,000.00"
Region 6,Zone 13,13116,TestDrive,Car,CL500,HAB,WHITE,13/12/2021,25/12/2021,25/12/2021,Cash,"5,000,000.00"
Region 6,Zone 13,13124,TestDrive,Passenger,SL-Class,BAB,WHITE,13/12/2021,15/3/2022,15/3/2022,Cash,"4,100,000.00"
Region 4,Zone 07,11111,Chat,Car,CL500,HAC,WHITE,6/7/2022,30/7/2022,8/8/2022,Cash,"5,000,000.00"
Region 1,Zone 02,10125,TestDrive,Car,CL500,HAC,WHITE,26/2/2022,30/7/2022,5/8/2022,Installment,"5,000,000.00"
Region 2,Zone 03,10104,e-Quotation,Car,CL500,HAB,WHITE,23/12/2021,26/2/2022,26/2/2022,Installment,"5,000,000.00"
Region 6,Zone 12,13109,Chat,Car,CLK Coupe,TAC,WHITE,23/12/2021,28/1/2022,29/1/2022,Installment,"5,500,000.00"
Region 4,Zone 07,11106,TestDrive,Car,CL500,HAB,WHITE,19/1/2022,1/7/2022,1/7/2022,Installment,"5,000,000.00"
Region 3,Zone 05,10114,TestDrive,Car,CL500,HAB,WHITE,21/1/2022,10/2/2022,12/2/2022,Cash,"5,000,000.00"
Region 1,Zone 02,10118,Website,Passenger,SL-Class,BAC,BLACK,27/12/2021,10/3/2022,12/3/2022,Installment,"4,100,000.00"
Region 3,Zone 06,10143,TestDrive,Car,CL500,HAB,GREY,28/12/2021,19/5/2022,20/5/2022,Installment,"5,000,000.00"
Region 4,Zone 07,11123,TestDrive,Passenger,SL-Class,BAC,BLACK,15/12/2021,24/12/2021,24/12/2021,Installment,"4,100,000.00"
Region 4,Zone 07,11120,TestDrive,Car,CL500,HAC,BLACK,13/12/2021,24/1/2022,24/1/2022,Cash,"5,000,000.00"
Region 2,Zone 03,10104,Website,Passenger,SL-Class,BAC,GREY,26/4/2022,3/5/2022,3/5/2022,Installment,"4,100,000.00"
Region 5,Zone 09,12139,TestDrive,Passenger,SL-Class,BAC,WHITE,13/12/2021,23/12/2021,23/12/2021,Cash,"4,100,000.00"
Region 3,Zone 05,16117,TestDrive,Car,CL500,HAB,WHITE,12/1/2022,31/1/2022,31/1/2022,Installment,"5,000,000.00"
Region 3,Zone 06,14121,TestDrive,Car,CL500,HAA,WHITE,13/12/2021,15/2/2022,15/2/2022,Installment,"5,000,000.00"
Region 4,Zone 07,11124,TestDrive,Passenger,SL-Class,BAC,GREY,13/12/2021,28/12/2021,28/12/2021,Installment,"4,100,000.00"
Region 1,Zone 01,16146,TestDrive,Car,CL500,HAC,WHITE,15/1/2022,29/7/2022,29/7/2022,Installment,"5,000,000.00"
Region 4,Zone 07,11124,TestDrive,Passenger,SL-Class,BAC,GREY,13/12/2021,28/12/2021,28/12/2021,Cash,"4,100,000.00"
Region 1,Zone 02,10125,Chat,Car,CL500,HAC,WHITE,4/1/2022,8/4/2022,11/4/2022,Installment,"5,000,000.00"
Region 3,Zone 06,20110,TestDrive,Passenger,C-Class,TAA,WHITE,13/12/2021,23/12/2021,23/12/2021,Installment,"6,000,000.00"
Region 6,Zone 11,14104,Chat,Passenger,SL-Class,BAC,GREY,17/12/2021,9/1/2022,9/1/2022,Cash,"4,100,000.00"
Region 6,Zone 13,13130,TestDrive,Car,CL500,HAC,WHITE,14/10/2022,,,Cash,
Region 4,Zone 07,11130,TestDrive,Car,CL500,HAC,WHITE,23/1/2022,21/3/2022,21/3/2022,Installment,"5,000,000.00"
Region 5,Zone 09,12116,TestDrive,Car,CL500,HAB,WHITE,15/12/2021,11/1/2022,11/1/2022,Installment,"5,000,000.00"
Region 5,Zone 09,12116,TestDrive,Passenger,CS-Class,BAC,WHITE,25/2/2022,25/2/2022,28/2/2022,Cash,"3,000,000.00"
Region 4,Zone 07,11121,Chat,Passenger,SE-Class,BAA,GREY,23/2/2022,3/3/2022,3/3/2022,Installment,"2,500,000.00"
Region 2,Zone 03,10120,TestDrive,Car,CL500,HAC,RED-BLACK,26/12/2021,14/2/2022,14/2/2022,Installment,"5,000,000.00"
Region 1,Zone 01,10129,Website,Passenger,SE-Class,BAA,GREY,3/3/2022,5/3/2022,5/3/2022,Cash,"2,500,000.00"
Region 4,Zone 07,11127,TestDrive,Passenger,SL-Class,BAD,WHITE,13/12/2021,21/2/2022,21/2/2022,Installment,"4,100,000.00"
Region 6,Zone 13,13130,TestDrive,Passenger,SL-Class,BAC,WHITE,14/12/2021,30/12/2021,11/1/2022,Installment,"4,100,000.00"
Region 2,Zone 04,10160,TestDrive,Passenger,SL-Class,BAA,SILVER,15/12/2021,14/1/2022,21/1/2022,Installment,"4,100,000.00"
Region 6,Zone 13,13124,TestDrive,Passenger,SL-Class,BAC,RED,13/12/2021,3/3/2022,3/3/2022,Cash,"4,100,000.00"
Region 3,Zone 05,10167,e-Quotation,Car,CLK Coupe,TAB,WHITE,9/1/2022,21/2/2022,21/2/2022,Installment,"5,500,000.00"
Region 6,Zone 12,13135,TestDrive,Passenger,SL-Class,BAD,WHITE,13/12/2021,20/1/2022,25/1/2022,Installment,"4,100,000.00"
Region 2,Zone 04,10160,TestDrive,Passenger,SL-Class,BAC,GREY,13/12/2021,10/1/2022,14/1/2022,Installment,"4,100,000.00"
Region 1,Zone 01,10166,TestDrive,Car,CL500,HAB,GREY,28/12/2021,29/4/2022,30/4/2022,Installment,"5,000,000.00"
Region 4,Zone 08,16130,TestDrive,Car,CL500,HAC,GREY,13/12/2021,,,Cash,
Region 2,Zone 03,20107,TestDrive,Passenger,SL-Class,BAC,GREY,30/9/2022,30/9/2022,,Cash,"4,100,000.00"
Region 2,Zone 03,10,TestDrive,Car,CLK Coupe,TAB,BLUE,16/3/2022,30/4/2022,30/4/2022,Installment,"5,500,000.00"
Region 6,Zone 13,13124,TestDrive,Car,CL500,HAB,WHITE,30/12/2021,,,Installment,
Region 3,Zone 06,10115,TestDrive,Passenger,SL-Class,BAC,WHITE,24/12/2021,27/12/2021,28/12/2021,Installment,"4,100,000.00"
Region 4,Zone 08,16110,TestDrive,Passenger,SL-Class,BAB,WHITE,20/12/2021,25/2/2022,25/2/2022,Installment,"4,100,000.00"
Region 4,Zone 08,16110,TestDrive,Passenger,SL-Class,BAB,WHITE,20/12/2021,25/2/2022,25/2/2022,Installment,"4,100,000.00"
Region 6,Zone 13,13123,TestDrive,Car,CL500,HAC,WHITE,10/1/2022,10/6/2022,13/6/2022,Cash,"5,000,000.00"
Region 6,Zone 12,13109,Chat,Car,CL500,HAC,GREY,6/1/2022,30/5/2022,30/5/2022,Installment,"5,000,000.00"
Region 1,Zone 02,10140,TestDrive,Passenger,SL-Class,BAB,BLACK,23/12/2021,23/12/2021,23/12/2021,Installment,"4,100,000.00"
Region 2,Zone 03,10,TestDrive,Car,CL500,HAC,GREY,13/12/2021,30/5/2022,2/6/2022,Cash,"5,000,000.00"
Region 4,Zone 07,11106,TestDrive,Passenger,SL-Class,BAB,SILVER,26/2/2022,,,Cash,
Region 6,Zone 11,14102,Chat,Car,CL500,HAB,WHITE,15/1/2022,21/3/2022,21/3/2022,Cash,"5,000,000.00"
Region 6,Zone 11,14124,TestDrive,Car,CL500,HAB,WHITE,15/1/2022,21/3/2022,21/3/2022,Installment,"5,000,000.00"
Region 4,Zone 08,16130,TestDrive,Car,CL500,HAB,GREY,13/12/2021,22/1/2022,24/1/2022,Cash,"5,000,000.00"
Region 2,Zone 03,10119,Chat,Passenger,SL-Class,BAA,BLACK,30/4/2022,6/5/2022,10/5/2022,Installment,"4,100,000.00"
Region 6,Zone 11,14116,Chat,Car,CL500,HAC,GREY,18/1/2022,12/6/2022,14/6/2022,Installment,"5,000,000.00"
Region 6,Zone 11,14116,Chat,Car,CL500,HAC,GREY,18/1/2022,12/6/2022,14/6/2022,Installment,"5,000,000.00"
Region 1,Zone 01,10127,Website,Passenger,SL-Class,BAA,WHITE,8/6/2022,19/6/2022,19/6/2022,Cash,"4,100,000.00"
Region 1,Zone 01,10127,Website,Passenger,SL-Class,BAA,WHITE,8/6/2022,19/6/2022,19/6/2022,Installment,"4,100,000.00"
Region 3,Zone 05,16135,TestDrive,Car,CL500,HAC,WHITE,23/7/2022,29/7/2022,29/7/2022,Cash,"5,000,000.00"
Region 2,Zone 04,10165,TestDrive,Car,CL500,HAC,WHITE,30/6/2022,27/8/2022,27/8/2022,Cash,"5,000,000.00"
Region 1,Zone 02,16145,TestDrive,Car,CL500,HAC,WHITE,16/1/2022,16/3/2022,16/3/2022,Cash,"5,000,000.00"
Region 6,Zone 11,14118,TestDrive,Passenger,SL-Class,BAA,WHITE,2/2/2022,11/2/2022,11/2/2022,Installment,"4,100,000.00"
Region 4,Zone 07,11112,TestDrive,Passenger,SL-Class,BAD,SILVER,26/3/2022,30/3/2022,30/3/2022,Cash,"4,100,000.00"
Region 3,Zone 05,20104,TestDrive,Passenger,SL-Class,BAB,GREY,7/9/2022,11/9/2022,11/9/2022,Installment,"4,100,000.00"
Region 4,Zone 08,16103,TestDrive,Car,CL500,HAC,GREY,18/12/2021,23/5/2022,31/5/2022,Installment,"5,000,000.00"
Region 5,Zone 09,12107,TestDrive,Car,CL500,HAB,WHITE,18/12/2021,28/12/2021,28/12/2021,Installment,"5,000,000.00"
Region 4,Zone 08,16115,TestDrive,Passenger,SL-Class,BAD,WHITE,8/9/2022,30/9/2022,1/10/2022,Cash,"4,100,000.00"
Region 4,Zone 07,11103,TestDrive,Car,CL500,HAC,WHITE,3/2/2022,22/2/2022,22/2/2022,Installment,"5,000,000.00"
Region 3,Zone 05,10156,Website,Passenger,C-Class,TAA,SILVER,15/12/2021,24/12/2021,24/12/2021,Cash,"6,000,000.00"
Region 6,Zone 11,14101,TestDrive,Car,CL500,HAB,GREY,4/1/2022,30/3/2022,30/3/2022,Installment,"5,000,000.00"
Region 6,Zone 12,13141,TestDrive,Car,CL500,HAC,GREY,23/2/2022,27/5/2022,2/6/2022,Installment,"5,000,000.00"
Region 2,Zone 04,14130,Chat,Passenger,SL-Class,BAA,GREY,19/12/2021,30/12/2021,30/12/2021,Cash,"4,100,000.00"
Region 1,Zone 02,20109,Chat,Passenger,SL-Class,BAA,GREY,19/12/2021,30/12/2021,30/12/2021,Cash,"4,100,000.00"
Region 5,Zone 09,12101,Chat,Passenger,SL-Class,BAC,WHITE,15/12/2021,20/1/2022,20/1/2022,Cash,"4,100,000.00"
Region 3,Zone 06,14103,TestDrive,Car,CL500,HAC,GREY,30/1/2022,17/5/2022,23/5/2022,Installment,"5,000,000.00"
Region 1,Zone 02,10116,TestDrive,Car,CLK Coupe,TAA,WHITE,29/4/2022,17/5/2022,17/5/2022,Cash,"5,500,000.00"
Region 4,Zone 08,16102,Chat,Passenger,SL-Class,BAC,SILVER,15/12/2021,24/12/2021,24/12/2021,Installment,"4,100,000.00"
Region 6,Zone 11,14131,TestDrive,Car,CL500,HAC,GREY,18/1/2022,26/7/2022,26/7/2022,Cash,"5,000,000.00"
Region 2,Zone 03,10147,TestDrive,Car,CL500,HAC,GREY,21/2/2022,,,Installment,
Region 4,Zone 08,16106,TestDrive,Car,CL500,HAA,GREY,14/12/2021,,,Installment,
Region 4,Zone 08,16101,TestDrive,Car,CL500,HAB,WHITE,26/9/2022,,,Cash,
Region 1,Zone 01,16133,TestDrive,Car,CL500,HAB,GREY,15/12/2021,29/3/2022,29/3/2022,Cash,"5,000,000.00"
Region 6,Zone 13,13127,TestDrive,Passenger,CS-Class,BAC,GREY,23/3/2022,6/4/2022,6/4/2022,Installment,"3,000,000.00"
Region 1,Zone 02,10125,TestDrive,Car,CL500,HAC,WHITE,29/12/2021,29/7/2022,29/7/2022,Installment,"5,000,000.00"
Region 1,Zone 02,10159,TestDrive,Car,CL500,HAC,BLACK,23/1/2022,29/1/2022,8/2/2022,Cash,"5,000,000.00"
Region 3,Zone 05,10130,Website,Passenger,SL-Class,BAB,WHITE,18/12/2021,14/2/2022,14/2/2022,Installment,"4,100,000.00"
Region 3,Zone 05,10137,Website,Passenger,SL-Class,BAB,WHITE,18/12/2021,14/2/2022,14/2/2022,Cash,"4,100,000.00"
Region 2,Zone 03,10136,e-Quotation,Passenger,SL-Class,BAC,SILVER,10/1/2022,21/1/2022,21/1/2022,Cash,"4,100,000.00"
Region 4,Zone 07,11134,Chat,Passenger,SL-Class,BAC,WHITE,25/12/2021,5/2/2022,5/2/2022,Installment,"4,100,000.00"
Region 3,Zone 05,20104,TestDrive,Car,CL500,HAC,WHITE,23/12/2021,,,Cash,
Region 6,Zone 12,13135,TestDrive,Car,CL500,HAB,WHITE,2/6/2022,1/7/2022,2/7/2022,Installment,"5,000,000.00"
Region 2,Zone 04,14111,Chat,Passenger,SL-Class,BAB,GREY,15/12/2021,23/3/2022,24/3/2022,Cash,"4,100,000.00"
Region 5,Zone 09,12129,TestDrive,Car,CL500,HAC,WHITE,20/12/2021,20/12/2021,20/12/2021,Cash,"5,000,000.00"
Region 2,Zone 03,10106,TestDrive,Passenger,SL-Class,BAB,GREY,20/12/2021,4/1/2022,17/1/2022,Cash,"4,100,000.00"
Region 3,Zone 06,10115,Chat,Passenger,SL-Class,BAD,WHITE,14/12/2021,24/12/2021,24/12/2021,Cash,"4,100,000.00"
Region 6,Zone 13,13130,TestDrive,Car,CLK Coupe,HAB,BLACK,17/6/2022,26/9/2022,26/9/2022,Installment,"5,500,000.00"
Region 3,Zone 06,14121,Chat,Car,CL500,HAC,WHITE,7/5/2022,30/5/2022,30/5/2022,Cash,"5,000,000.00"
Region 3,Zone 05,10156,TestDrive,Car,CL500,HAB,WHITE,25/12/2021,12/3/2022,15/3/2022,Cash,"5,000,000.00"
Region 2,Zone 03,10122,Website,Passenger,SL-Class,BAC,SILVER,16/7/2022,31/8/2022,31/8/2022,Installment,"4,100,000.00"
Region 3,Zone 05,10114,TestDrive,Car,CL500,HAC,RED-BLACK,21/12/2021,10/2/2022,11/2/2022,Installment,"5,000,000.00"
Region 6,Zone 13,13112,TestDrive,Passenger,C-Class,TAA,BLACK,22/1/2022,25/1/2022,28/1/2022,Installment,"6,000,000.00"
Region 6,Zone 11,14102,e-Quotation,Car,CLK Coupe,TAB,GREY,15/12/2021,18/12/2021,18/12/2021,Installment,"5,500,000.00"
Region 4,Zone 07,11105,TestDrive,Car,CL500,HAC,BLACK,15/12/2021,29/12/2021,29/12/2021,Cash,"5,000,000.00"
Region 6,Zone 12,13107,TestDrive,Car,CLK Coupe,TAB,WHITE,14/12/2021,8/1/2022,15/1/2022,Installment,"5,500,000.00"
Region 4,Zone 07,11106,TestDrive,Car,CL500,HAB,WHITE,19/1/2022,1/7/2022,1/7/2022,Installment,"5,000,000.00"
Region 6,Zone 12,13107,TestDrive,Car,CLK Coupe,TAB,WHITE,14/12/2021,8/1/2022,15/1/2022,Installment,"5,500,000.00"
Region 4,Zone 07,11105,TestDrive,Car,CL500,HAC,BLACK,15/12/2021,29/12/2021,29/12/2021,Installment,"5,000,000.00"
Region 4,Zone 07,11103,TestDrive,Car,CL500,HAC,GREY,15/12/2021,28/2/2022,28/2/2022,Installment,"5,000,000.00"
Region 2,Zone 04,10158,TestDrive,Car,CL500,HAB,WHITE,16/12/2021,20/3/2022,21/3/2022,Cash,"5,000,000.00"
Region 3,Zone 05,10114,TestDrive,Car,CL500,HAB,WHITE,15/12/2021,24/1/2022,25/1/2022,Cash,"5,000,000.00"
Region 1,Zone 01,10111,Chat,Passenger,SL-Class,BAC,WHITE,27/12/2021,28/12/2021,28/12/2021,Installment,"4,100,000.00"
Region 3,Zone 06,10134,TestDrive,Car,CL500,HAB,WHITE,29/12/2021,5/1/2022,5/1/2022,Installment,"5,000,000.00"
Region 3,Zone 06,10134,TestDrive,Car,CL500,HAB,WHITE,29/12/2021,5/1/2022,5/1/2022,Cash,"5,000,000.00"
Region 6,Zone 13,13130,TestDrive,Car,CL500,HAC,WHITE,28/6/2022,,,Installment,
Region 3,Zone 05,10146,Chat,Car,CLK Coupe,TAC,SILVER,27/6/2022,28/6/2022,29/6/2022,Installment,"5,500,000.00"
Region 2,Zone 04,10164,Website,Passenger,SL-Class,BAB,GREY,26/1/2022,2/3/2022,2/3/2022,Cash,"4,100,000.00"
Region 2,Zone 04,14129,TestDrive,Car,CL500,HAA,WHITE,25/12/2021,27/12/2021,27/12/2021,Installment,"5,000,000.00"
Region 6,Zone 12,13109,Chat,Car,CLK Coupe,TAC,BLACK,18/12/2021,4/1/2022,4/1/2022,Cash,"5,500,000.00"
Region 6,Zone 13,13130,TestDrive,Car,CL500,HAB,GREY,15/12/2021,,,Cash,
Region 3,Zone 05,20112,TestDrive,Car,CL500,HAC,WHITE,22/3/2022,,,Installment,
Region 6,Zone 11,14120,Website,Passenger,SL-Class,BAC,WHITE,20/1/2022,20/1/2022,20/1/2022,Cash,"4,100,000.00"
Region 5,Zone 09,12140,TestDrive,Car,CL500,HAC,WHITE,22/12/2021,23/12/2021,24/12/2021,Cash,"5,000,000.00"
Region 4,Zone 07,11106,TestDrive,Passenger,SL-Class,BAC,WHITE,26/5/2022,29/8/2022,29/8/2022,Cash,"4,100,000.00"
Region 5,Zone 09,12130,TestDrive,Car,CL500,HAC,BLACK,5/1/2022,8/2/2022,8/2/2022,Cash,"5,000,000.00"
Region 4,Zone 07,11136,TestDrive,Passenger,SL-Class,BAA,BLACK,27/7/2022,4/8/2022,4/8/2022,Installment,"4,100,000.00"
Region 4,Zone 08,16139,TestDrive,Car,CL500,HAC,WHITE,14/12/2021,5/2/2022,5/2/2022,Installment,"5,000,000.00"
Region 5,Zone 09,12124,TestDrive,Car,CL500,HAB,GREY,14/12/2021,15/3/2022,15/3/2022,Installment,"5,000,000.00"
Region 5,Zone 10,12136,TestDrive,Car,CL500,HAA,WHITE,14/12/2021,28/12/2021,28/12/2021,Cash,"5,000,000.00"
Region 2,Zone 04,14130,TestDrive,Passenger,SL-Class,BAA,GREY,25/1/2022,29/1/2022,31/1/2022,Installment,"4,100,000.00"
Region 2,Zone 04,14130,TestDrive,Passenger,SL-Class,BAA,GREY,25/1/2022,29/1/2022,31/1/2022,Cash,"4,100,000.00"
Region 4,Zone 07,11106,TestDrive,Passenger,SL-Class,BAB,SILVER,26/2/2022,,,Installment,
Region 4,Zone 07,11137,Chat,Passenger,E-Class,HAB,WHITE,26/3/2022,5/4/2022,5/4/2022,Installment,"4,500,000.00"
Region 5,Zone 10,12137,Chat,Passenger,SL-Class,BAC,GREY,27/4/2022,10/5/2022,27/5/2022,Installment,"4,100,000.00"
Region 3,Zone 06,10134,Chat,Car,CL500,HAB,WHITE,18/12/2021,,,Cash,
Region 6,Zone 12,13137,TestDrive,Passenger,C-Class,TAA,BLACK,15/12/2021,4/1/2022,4/1/2022,Installment,"6,000,000.00"
Region 4,Zone 07,11137,e-Quotation,Passenger,E-Class,HAB,WHITE,26/3/2022,5/4/2022,5/4/2022,Cash,"4,500,000.00"
Region 5,Zone 10,12102,TestDrive,Passenger,SL-Class,BAC,RED,16/12/2021,8/3/2022,8/3/2022,Cash,"4,100,000.00"
Region 4,Zone 07,11106,TestDrive,Car,CL500,HAA,WHITE,2/3/2022,,,Installment,
Region 1,Zone 02,16145,TestDrive,Car,CL500,HAC,GREY,28/9/2022,,,Cash,
Region 4,Zone 08,16106,TestDrive,Passenger,SL-Class,BAB,GREY,14/12/2021,24/12/2021,24/12/2021,Cash,"4,100,000.00"
Region 2,Zone 03,10106,TestDrive,Car,CLK Coupe,TAB,SILVER,23/12/2021,28/12/2021,28/12/2021,Installment,"5,500,000.00"
Region 4,Zone 08,16106,Chat,Car,CLK Coupe,TAC,GREY,12/1/2022,26/3/2022,26/3/2022,Cash,"5,500,000.00"
Region 2,Zone 03,20107,TestDrive,Passenger,SL-Class,BAB,GREY,28/1/2022,17/3/2022,17/3/2022,Installment,"4,100,000.00"
Region 3,Zone 05,10167,Website,Passenger,SL-Class,BAB,GREY,25/12/2021,22/2/2022,22/2/2022,Cash,"4,100,000.00"
Region 2,Zone 03,10122,Website,Passenger,SL-Class,BAB,GREY,25/12/2021,22/2/2022,22/2/2022,Cash,"4,100,000.00"
Region 1,Zone 01,10110,Website,Passenger,SL-Class,BAB,GREY,25/12/2021,22/2/2022,22/2/2022,Cash,"4,100,000.00"
Region 4,Zone 08,16136,TestDrive,Passenger,SL-Class,BAB,WHITE,27/1/2022,28/1/2022,28/1/2022,Installment,"4,100,000.00"
Region 4,Zone 08,16122,Chat,Passenger,SL-Class,BAD,WHITE,19/3/2022,21/3/2022,21/3/2022,Cash,"4,100,000.00"
Region 6,Zone 11,14123,TestDrive,Car,CL500,HAB,GREY,17/2/2022,,,Installment,
Region 3,Zone 06,10154,Chat,Car,CL500,HAB,WHITE,7/1/2022,18/1/2022,21/1/2022,Cash,"5,000,000.00"
Region 1,Zone 02,10116,e-Quotation,Passenger,SL-Class,BAA,GREY,15/12/2021,4/1/2022,4/1/2022,Cash,"4,100,000.00"
Region 2,Zone 04,10108,TestDrive,Car,CLK Coupe,TAC,GREY,26/1/2022,10/2/2022,12/2/2022,Cash,"5,500,000.00"
Region 3,Zone 05,20112,TestDrive,Car,CL500,HAC,GREY,22/12/2021,25/5/2022,27/5/2022,Cash,"5,000,000.00"
Region 4,Zone 08,16115,Chat,Passenger,SL-Class,BAC,BLACK,22/12/2021,8/1/2022,8/1/2022,Cash,"4,100,000.00"
Region 6,Zone 11,14107,TestDrive,Passenger,SL-Class,BAA,GREY,15/3/2022,27/3/2022,27/3/2022,Cash,"4,100,000.00"
Region 4,Zone 07,11123,Website,Passenger,SE-Class,BAC,GREY,14/2/2022,25/2/2022,25/2/2022,Installment,"2,500,000.00"
Region 3,Zone 06,10149,TestDrive,Passenger,SL-Class,BAA,WHITE,8/1/2022,4/2/2022,4/2/2022,Installment,"4,100,000.00"
Region 3,Zone 06,10149,Website,Passenger,SL-Class,BAA,WHITE,8/1/2022,4/2/2022,4/2/2022,Cash,"4,100,000.00"
Region 2,Zone 03,10106,TestDrive,Car,CLK Coupe,TAB,GREY,22/12/2021,27/12/2021,28/12/2021,Installment,"5,500,000.00"
Region 3,Zone 05,20101,Chat,Car,CLK Coupe,HAB,GREY,15/6/2022,21/7/2022,21/7/2022,Installment,"5,500,000.00"
Region 6,Zone 13,13101,TestDrive,Passenger,SL-Class,BAC,WHITE,15/12/2021,14/2/2022,14/2/2022,Installment,"4,100,000.00"
Region 3,Zone 05,16135,Website,Passenger,SL-Class,BAB,GREY,15/12/2021,29/12/2021,29/12/2021,Cash,"4,100,000.00"
Region 4,Zone 07,11114,Chat,Car,CL500,HAC,BLACK,31/5/2022,31/5/2022,31/5/2022,Cash,"5,000,000.00"
Region 6,Zone 13,13115,TestDrive,Passenger,SE-Class,BAD,GREY,17/12/2021,,,Installment,
Region 4,Zone 08,16115,Website,Car,CLK Coupe,TAC,WHITE,23/12/2021,17/3/2022,17/3/2022,Cash,"5,500,000.00"
Region 6,Zone 11,14102,Chat,Passenger,SL-Class,BAB,WHITE,15/12/2021,14/1/2022,14/1/2022,Installment,"4,100,000.00"
Region 1,Zone 01,16127,e-Quotation,Passenger,SL-Class,BAC,GREY,9/3/2022,20/3/2022,20/3/2022,Cash,"4,100,000.00"
Region 1,Zone 02,10125,Chat,Passenger,SE-Class,BAA,GREY,15/12/2021,9/2/2022,9/2/2022,Cash,"2,500,000.00"
Region 3,Zone 06,10154,Website,Passenger,SL-Class,BAC,GREY,2/2/2022,15/3/2022,15/3/2022,Installment,"4,100,000.00"
Region 3,Zone 06,10154,Chat,Car,CL500,HAB,WHITE,7/1/2022,18/1/2022,21/1/2022,Installment,"5,000,000.00"
Region 4,Zone 08,16139,TestDrive,Car,CL500,HAB,GREY,5/4/2022,24/6/2022,25/6/2022,Cash,"5,000,000.00"
Region 3,Zone 05,16117,Chat,Passenger,SL-Class,BAC,BLACK,16/12/2021,28/2/2022,28/2/2022,Cash,"4,100,000.00"
Region 3,Zone 05,16117,Chat,Passenger,SL-Class,BAC,BLACK,16/12/2021,28/2/2022,28/2/2022,Installment,"4,100,000.00"
Region 5,Zone 10,12136,TestDrive,Car,CL500,HAB,WHITE,15/12/2021,27/12/2021,27/12/2021,Cash,"5,000,000.00"
Region 2,Zone 03,10122,TestDrive,Passenger,SL-Class,BAD,WHITE,8/7/2022,9/9/2022,10/9/2022,Cash,"4,100,000.00"
Region 5,Zone 09,12147,TestDrive,Car,CL500,HAB,BLACK,29/6/2022,1/7/2022,2/7/2022,Installment,"5,000,000.00"
Region 1,Zone 01,16120,TestDrive,Passenger,SL-Class,BAC,GREY,27/12/2021,28/12/2021,28/12/2021,Installment,"4,100,000.00"
Region 5,Zone 09,12138,TestDrive,Passenger,SL-Class,BAC,WHITE,22/12/2021,31/1/2022,31/1/2022,Installment,"4,100,000.00"
Region 2,Zone 04,10162,TestDrive,Car,CL500,HAB,WHITE,31/10/2022,,,Cash,
Region 1,Zone 02,10116,Chat,Car,CL500,HAC,WHITE,19/8/2022,,,Cash,
Region 2,Zone 04,10150,TestDrive,Car,CL500,HAC,WHITE,27/12/2021,31/3/2022,11/4/2022,Installment,"5,000,000.00"
